"sname","fname","labour","tory","lnrealgross","lnrealnet","treated","yob","yod","scat_pub","scat_eto","scat_sec","scat_nm","ucat_ox","ucat_deg","ucat_nm","aristo","female","oc_teacherall","oc_barrister","oc_solicitor","oc_dr","oc_civil_serv","oc_local_politics","oc_business","oc_white_collar","oc_union_org","oc_journalist","oc_miner","wobl_race_region","pre_wobl","wobl_race_electorate","wobl_race_turnout","wobl_race_effective_number_of_ca","wobl_margin","directorships_1983"
"Llewellyn","David",0,1,12.1359062194824,12.1359062194824,1,1916,1992,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wales",NA,60543,0.843796968460083,2.47129535675049,0.0569040440022945,0
"Morris","Claud",1,0,12.4480905532837,12.4480905532837,0,1920,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"South West England",NA,58800,0.851394534111023,2.38450956344604,-0.0497383251786232,0
"Walker","George",0,1,12.4284496307373,10.3490085601807,0,1914,1999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"North East England",-0.0571682043373585,53907,0.812695920467377,1.99654674530029,-0.0415886789560318,0
"Walker","Harold",1,0,11.9184522628784,12.3950338363647,1,1927,2003,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yorkshire and Humberside",-0.0725088939070702,57748,0.827353298664093,2.10047817230225,0.0232952404767275,NA
"Waring","John",0,1,13.5202188491821,13.5202188491821,0,1923,1989,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater London",-0.269689619541168,62561,0.660347521305084,1.89951086044312,-0.230005815625191,0
"Brown","Ronald",1,0,12.4605150222778,9.63183689117432,1,1921,2002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Greater London",0.340958684682846,47791,0.556987702846527,1.76149046421051,0.367970257997513,1
"Pine","Leslie",0,1,11.9858360290527,11.9858360290527,0,1907,1987,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"South West England",-0.210566833615303,49476,0.750141501426697,1.989501953125,-0.0726410523056984,0
"Pink","Bonner",0,1,11.6340312957764,11.6340312957764,1,1912,1984,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"South East England",0.273771911859512,52941,0.707410156726837,1.91324293613434,0.212944909930229,0
"Webster","Reginald",0,1,12.5162544250488,12.5100364685059,0,1905,1998,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"North West England",-0.169646635651588,51188,0.802180171012878,1.99958157539368,-0.0144659299403429,0
"Ridley","Jasper",1,0,14.6608619689941,14.6528215408325,0,1920,2004,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"South West England",-0.078550897538662,53238,0.841166079044342,2.76749801635742,-0.130096912384033,0
"Underhill","Michael",0,1,12.5559692382812,12.5559692382812,0,1918,1987,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Greater London",-0.143719226121902,55290,0.76417076587677,1.99399304389954,-0.0548862740397453,0
"Roberts","Thomas",1,0,11.0881290435791,11.0374803543091,0,1915,2003,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Yorkshire and Humberside",-0.00193054799456149,47178,0.904828548431396,2.32284998893738,-0.0352089591324329,0
"Roberts","Gwilym",1,0,11.8629865646362,11.8629865646362,1,1928,1987,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"East of England",-0.00503437919542193,86403,0.837378323078156,2.41359543800354,0.0584641769528389,0
"Roberts","Shelagh",0,1,13.6942405700684,13.6942405700684,0,1924,1992,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,"Wales",-0.231120675802231,40671,0.803766787052155,2.49890971183777,-0.301682472229004,0
"Roberts","Gordon",1,0,12.4320087432861,8.64781951904297,0,1921,2003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"East Midlands",-0.0568260997533798,72980,0.778665363788605,2.41807341575623,-0.139704719185829,0
"Coles","Gerald",0,1,11.4688024520874,11.4436883926392,0,1933,2002,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"North East England",-0.0886611342430115,53224,0.838813304901123,1.98928225040436,-0.0734012797474861,0
"Grant","William",0,1,12.1359062194824,12.1359062194824,1,1909,1992,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scotland",0.0673992484807968,48632,0.727689564228058,1.97086179256439,0.121591456234455,0
"Grant","John",1,0,12.7180261611938,12.689694404602,1,1932,2000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Greater London",0.290152043104172,43705,0.518018543720245,1.89534533023834,0.234982326626778,0
"Rees","Robert",1,0,12.0074434280396,12.0074434280396,0,1911,1997,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Greater London",-0.0276633538305759,61408,0.878550052642822,2.24349355697632,-0.0587766468524933,0
"Cryer","Robert",1,0,12.4774227142334,12.4774227142334,1,1934,1994,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"North West England",-0.178920730948448,58014,0.836746275424957,2.88878202438354,-0.0985518023371696,0
"Horne","Hampden",1,0,11.948826789856,11.948826789856,0,1903,1993,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"East of England",-0.134375870227814,47922,0.795730590820312,2.26946187019348,-0.168305665254593,0
"Bidgood","John",0,1,12.7887620925903,12.7730436325073,1,1914,2001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"North West England",0.0325995124876499,65379,0.801648855209351,1.98981881141663,0.0715307891368866,7
"Fidler","Michael",0,1,13.1590299606323,13.1590299606323,1,1916,1989,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"North West England",-0.0831643790006638,74576,0.756114542484283,1.99356365203857,0.0568206012248993,0
"Faulds","Andrew",1,0,12.4480905532837,12.399299621582,1,1923,2000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South West England",-0.0506278537213802,44960,0.753959059715271,2.03810977935791,0.102955929934978,0
"Greene","Royden",0,1,12.4284496307373,11.8306121826172,0,1917,1999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"East Midlands",-0.257032424211502,52999,0.672937214374542,1.9845290184021,-0.0882938429713249,0
"McWhirter","Norris",0,1,15.0326166152954,15.0311727523804,0,1925,2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"South East England",-0.0656256005167961,55776,0.869155168533325,2.40824866294861,-0.0334584750235081,3
"Bourne-Arton","Anthony",0,1,12.8456001281738,12.8456001281738,1,1913,1996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"North East England",0.0527283512055874,59342,0.843955397605896,2.45471906661987,0.0881953611969948,0
"Baker","Wilfred",0,1,12.4480905532837,11.7061529159546,1,1920,2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scotland",0.411134600639343,30880,0.677558302879333,2.74233365058899,0.211298570036888,0
"Baker","Douglas",1,0,11.3777084350586,11.3777084350586,0,1931,1985,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East of England",-0.00684761209413409,72320,0.786753296852112,2.315598487854,-0.0970684364438057,0
"Stone","Frank",1,0,11.8396835327148,11.8396835327148,0,1905,1988,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"East of England",-0.145861193537712,54436,0.799360692501068,2.52078557014465,-0.155972793698311,0
"Berkeley","Humphry",0,1,12.7020397186279,12.7020397186279,1,1926,1994,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"North West England",0.129243969917297,43714,0.824404060840607,1.95402264595032,0.153393641114235,0
"Lee","Edwin",0,1,12.2504005432129,12.2504005432129,0,1911,1989,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Greater London",-0.316821187734604,47354,0.627444326877594,1.84112727642059,-0.293753355741501,0
"Dilks","John",1,0,12.8428840637207,12.8370094299316,0,1933,2005,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"East Midlands",-0.225506827235222,44344,0.858131885528564,2.83827066421509,-0.188053503632545,0
"Read","George",1,0,12.489673614502,12.3073511123657,0,1937,2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"North West England",-0.121692210435867,64639,0.817060887813568,2.55806732177734,-0.0795811712741852,0
"Cowling","Maurice",0,1,12.597954750061,11.7433576583862,0,1926,2005,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"East Midlands",-0.162125930190086,59907,0.801859557628632,1.9497344493866,-0.160563737154007,0
"Jenkin-Jones","Peter",0,1,14.2225685119629,14.2225685119629,0,1928,1995,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"East Midlands",-0.048688966780901,54597,0.849350690841675,1.99708378314972,-0.038212712854147,0
