"municipality","ever_treated","treatment","year","gdvote","trarrprop","logdist"
"7",FALSE,0,2012,7.98228830099106,0,5.48097229003906
"7",FALSE,0,2013,7.27716758847237,0,5.48097229003906
"7",FALSE,0,2015,6.36330023407936,0,5.48097229003906
"7",FALSE,0,2016,7.61778950691223,0,5.48097229003906
"3",FALSE,0,2012,2.58291754871607,0,5.7635908126831
"3",FALSE,0,2013,4.28439788520336,0,5.7635908126831
"3",FALSE,0,2015,2.71493215113878,0,5.7635908126831
"3",FALSE,0,2016,3.6940686404705,0,5.7635908126831
"4",FALSE,0,2012,4.95495498180389,0,4.46694183349609
"4",FALSE,0,2013,4.76190485060215,0,4.46694183349609
"4",FALSE,0,2015,4.87804859876633,0,4.46694183349609
"4",FALSE,0,2016,5.98802380263805,0,4.46694183349609
"5",FALSE,0,2012,2.86521390080452,0,5.4090085029602
"5",FALSE,0,2013,3.04932128638029,0,5.4090085029602
"5",FALSE,0,2015,3.15904878079891,0,5.4090085029602
"5",FALSE,0,2016,4.60459664463997,0,5.4090085029602
"2",TRUE,0,2012,3.57142873108387,0,2.74598813056946
"2",TRUE,0,2013,4.6875,0,2.74598813056946
"2",TRUE,0,2015,3.27868834137917,0,2.74598813056946
"2",TRUE,1,2016,5.00000007450581,5,2.74598813056946
"6",FALSE,0,2012,18.8385263085365,0,5.53737354278564
"6",FALSE,0,2013,11.304347962141,0,5.53737354278564
"6",FALSE,0,2015,6.12903237342834,0,5.53737354278564
"6",FALSE,0,2016,9.98185127973557,0,5.53737354278564
"8",FALSE,0,2012,4.16233092546463,0,5.19462203979492
"8",FALSE,0,2013,4.58536595106125,0,5.19462203979492
"8",FALSE,0,2015,5.7273767888546,0,5.19462203979492
"8",FALSE,0,2016,5.97609579563141,0,5.19462203979492
"9",FALSE,0,2012,2.13480442762375,0,5.6762056350708
"9",FALSE,0,2013,3.07463426142931,0,5.6762056350708
"9",FALSE,0,2015,2.37686838954687,0,5.6762056350708
"9",FALSE,0,2016,3.4011784940958,0,5.6762056350708
"10",FALSE,0,2012,4.73269075155258,0,4.63928174972534
"10",FALSE,0,2013,3.9792388677597,0,4.63928174972534
"10",FALSE,0,2015,5.51583245396614,0,4.63928174972534
"10",FALSE,0,2016,6.35838136076927,0,4.63928174972534
"11",FALSE,0,2012,3.57142873108387,0,4.93706035614014
"11",FALSE,0,2013,7.58928582072258,0,4.93706035614014
"11",FALSE,0,2015,4.49438206851482,0,4.93706035614014
"11",FALSE,0,2016,4.16666679084301,0,4.93706035614014
"12",FALSE,0,2012,12.7987891435623,0,4.77803039550781
"12",FALSE,0,2013,9.05568972229958,0,4.77803039550781
"12",FALSE,0,2015,7.39750415086746,0,4.77803039550781
"12",FALSE,0,2016,7.6681450009346,0,4.77803039550781
"13",FALSE,0,2012,3.93487103283405,0,5.12782573699951
"13",FALSE,0,2013,3.31125818192959,0,5.12782573699951
"13",FALSE,0,2015,2.54237279295921,0,5.12782573699951
"13",FALSE,0,2016,5.45722730457783,0,5.12782573699951
"14",FALSE,0,2012,0.794100947678089,0,5.6095814704895
"14",FALSE,0,2013,0.482509052380919,0,5.6095814704895
"14",FALSE,0,2015,0,0,5.6095814704895
"14",FALSE,0,2016,0,0,5.6095814704895
"15",FALSE,0,2012,3.78542691469193,0,5.7856388092041
"15",FALSE,0,2013,4.71997559070587,0,5.7856388092041
"15",FALSE,0,2015,3.75805646181107,0,5.7856388092041
"15",FALSE,0,2016,5.85559979081154,0,5.7856388092041
"16",FALSE,0,2012,1.6154246404767,0,5.5509033203125
"16",FALSE,0,2013,2.49824896454811,0,5.5509033203125
"16",FALSE,0,2015,1.80681552737951,0,5.5509033203125
"16",FALSE,0,2016,2.9073815792799,0,5.5509033203125
"17",FALSE,0,2012,3.99999991059303,0,4.38477277755737
"17",FALSE,0,2013,2.36220471560955,0,4.38477277755737
"17",FALSE,0,2015,1.51324085891247,0,4.38477277755737
"17",FALSE,0,2016,2.50312890857458,0,4.38477277755737
"18",FALSE,0,2012,1.21951214969158,0,5.53623151779175
"18",FALSE,0,2013,1.66754890233278,0,5.53623151779175
"18",FALSE,0,2015,1.40377739444375,0,5.53623151779175
"18",FALSE,0,2016,2.1099554374814,0,5.53623151779175
"19",FALSE,0,2012,11.2903222441673,0,5.87625026702881
"19",FALSE,0,2013,9.23076942563057,0,5.87625026702881
"19",FALSE,0,2015,3.84615398943424,0,5.87625026702881
"19",FALSE,0,2016,3.27868834137917,0,5.87625026702881
"20",FALSE,0,2012,2.93269623070955,0,5.65882015228271
"20",FALSE,0,2013,3.73864136636257,0,5.65882015228271
"20",FALSE,0,2015,2.72142924368382,0,5.65882015228271
"20",FALSE,0,2016,4.28821481764317,0,5.65882015228271
"21",FALSE,0,2012,9.61126163601875,0,5.34715509414673
"21",FALSE,0,2013,9.29170995950699,0,5.34715509414673
"21",FALSE,0,2015,7.22626149654388,0,5.34715509414673
"21",FALSE,0,2016,8.22978690266609,0,5.34715509414673
"22",FALSE,0,2012,5.12367486953735,0,5.95189189910889
